TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-2.655958812E-11,-5.311786145E-05,4.693838269E-13,9.387444175E-07,7.321342886E-14,1.464232334E-07,1.105400939E-14,2.210747156E-08,9.447475996E-16,1.889448431E-09,1.365720624E-16,2.731373641E-10,1.180597247E-17,2.36113605E-11,0.02,0.0,40000.0,0.0
2.E-03,-1.374738982E-10,-1.155926396E-04,4.950090627E-12,7.083795437E-06,9.010278099E-13,1.362755741E-06,1.741051559E-13,2.818814562E-07,1.743553829E-14,2.92020543E-08,3.000622769E-15,5.181711812E-09,2.925007067E-16,5.141551782E-10,0.04,0.0,40000.0,0.0
3.E-03,-6.899076897E-11,4.743724049E-04,2.364122835E-11,2.13369697E-05,5.007123977E-12,5.193765587E-06,1.231084984E-12,1.505957279E-06,1.470913032E-13,1.971249855E-07,3.024377379E-14,4.357576594E-08,3.367260139E-15,5.073884262E-09,0.06,0.0,40000.0,0.0
4.E-03,1.627675413E-09,2.781966E-03,7.133994124E-11,3.667824851E-05,1.69006591E-11,1.038112015E-05,5.148771661E-12,4.215437909E-06,7.505974941E-13,7.505691749E-07,1.843917031E-13,2.102313245E-07,2.384104206E-14,2.972375161E-08,0.08,0.0,40000.0,0.0
5.E-03,9.678451365E-09,9.926160974E-03,1.712166255E-10,6.767724023E-05,4.0081782E-11,1.219413126E-05,1.420028221E-11,6.052249582E-06,2.58977696E-12,1.720773618E-06,7.544979923E-13,6.216817532E-07,1.157971916E-13,1.132399276E-07,0.1,0.0,40000.0,0.0
6.E-03,3.882369975E-08,3.226249859E-02,3.986267373E-10,1.873878639E-04,7.511627709E-11,1.151260053E-05,2.77202764E-11,2.884802605E-06,6.435517209E-12,2.292361496E-06,2.17331456E-12,1.075741319E-06,4.074969798E-13,2.862461697E-07,0.12,0.0,40000.0,0.0
7.E-03,1.185750293E-07,6.894958827E-02,9.421079091E-10,4.44752565E-04,1.234435669E-10,1.507289632E-05,4.208669509E-11,-1.192014328E-06,1.215348422E-11,1.452113705E-06,4.510982567E-12,7.619780991E-07,1.070880146E-12,4.571217955E-07,0.14,0.0,40000.0,0.0
8.E-03,2.609837834E-07,5.636655427E-02,2.074690437E-09,7.334510295E-04,1.901391055E-10,2.166361692E-05,5.844211773E-11,5.169823377E-06,1.875119935E-11,3.073688206E-07,6.905904942E-12,-6.474584551E-07,2.143738258E-12,3.618334984E-07,0.16,0.0,40000.0,0.0
9.E-03,3.917418314E-07,-7.966617862E-02,3.868291368E-09,5.885956433E-04,2.799579631E-10,2.458309656E-05,8.508446698E-11,1.540412892E-05,2.627105182E-11,1.536860514E-06,8.457905329E-12,-1.038421424E-06,3.35069722E-12,-9.362817741E-08,0.18,0.0,40000.0,0.0
1.E-02,3.77705262E-07,-0.209924951,5.35686841E-09,-1.19861244E-03,3.872983381E-10,1.0460286E-05,1.239467456E-10,9.03604356E-06,3.670766379E-11,4.296665068E-06,1.048543767E-11,1.989435902E-06,4.341940592E-12,-3.378117807E-07,0.2,0.0,40000.0,0.0
1.1E-02,2.144128505E-07,-8.859110267E-02,3.260956537E-09,-5.970321884E-03,4.787418359E-10,-4.22534261E-05,1.660997782E-10,-2.45471619E-06,5.129871422E-11,4.012280763E-06,1.587694435E-11,4.738568123E-06,5.336980953E-12,3.45391408E-07,0.21999999999999997,0.0,40000.0,0.0
1.2E-02,6.649081226E-08,0.119333989,-8.23073313E-09,-1.282122488E-02,4.849538336E-10,-1.282093531E-04,2.088488866E-10,3.646609272E-06,6.793513355E-11,7.847980954E-08,2.393605238E-11,5.96750891E-07,7.154862581E-12,1.300298466E-06,0.24,0.0,40000.0,0.0
1.3E-02,-2.623295291E-08,-8.93121905E-03,-3.502914278E-08,-1.779227027E-02,3.001055619E-10,-2.539104187E-04,2.565517162E-10,6.261172745E-06,8.36300043E-11,-1.961646182E-06,2.95819321E-11,-5.423275029E-06,1.001106735E-11,7.763772277E-07,0.26,0.0,40000.0,0.0
1.4E-02,-2.624964096E-07,-0.278150776,-7.971463374E-08,-1.79819566E-02,-2.266935011E-10,-4.299906689E-04,3.067926172E-10,-1.185113528E-06,9.955329468E-11,2.418394385E-06,3.18408942E-11,-1.350743832E-06,1.271757323E-11,-1.075770966E-06,0.28,0.0,40000.0,0.0
1.5E-02,-7.397233054E-07,-0.203782047,-1.409365717E-07,-1.509095074E-02,-1.18580579E-09,-4.346405108E-04,3.614880549E-10,1.00938052E-05,1.208245284E-10,8.277545032E-06,3.668293815E-11,6.516993572E-06,1.418517643E-11,-1.402076113E-06,0.3,0.0,40000.0,0.0
1.6E-02,-1.307301341E-06,2.308181909E-02,-2.138944691E-07,-8.381049543E-03,-2.305445329E-09,1.13576959E-04,4.279141871E-10,1.336815605E-05,1.475207391E-10,2.572643338E-06,4.626875235E-11,2.970745094E-06,1.549314044E-11,1.082769045E-06,0.32,0.0,40000.0,0.0
1.7E-02,-1.822614659E-06,8.144977509E-02,-2.843651306E-07,1.335522939E-02,-2.688261632E-09,1.360061101E-03,5.014269427E-10,8.049219506E-07,1.708354108E-10,-9.335797676E-06,5.582132811E-11,-3.037355256E-06,1.881802271E-11,2.951110846E-06,0.34,0.0,40000.0,0.0
1.8E-02,-2.262602778E-06,6.9200256E-02,-3.210383535E-07,5.423945997E-02,-7.659554663E-10,3.250176152E-03,5.969290156E-10,4.317251834E-05,1.893918159E-10,-1.811819429E-07,6.409289165E-11,4.752258018E-07,2.372945705E-11,2.220645878E-07,0.36,0.0,40000.0,0.0
1.9E-02,-2.674235322E-06,-1.248702773E-02,-2.863472383E-07,8.848956443E-02,5.599685381E-09,5.636488462E-03,7.733454776E-10,1.186566109E-04,2.165915436E-10,1.746805459E-05,7.27215815E-11,2.392225152E-07,2.67088161E-11,-4.086245962E-06,0.38,0.0,40000.0,0.0
2.E-02,-3.157545129E-06,-0.130868627,-1.625193158E-07,8.978452463E-02,1.882059834E-08,8.074059142E-03,1.093309349E-09,1.684385005E-04,2.542266884E-10,3.403341631E-06,7.96710392E-11,-3.597789497E-06,2.687281357E-11,-1.544616565E-06,0.4,0.0,40000.0,0.0
