TIME, N1_UZ, N1_AZ, N7_UZ, N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
2.E-03, 1.8109939E-11, 9.054745372E-06, 6.596318119E-17, 3.298077424E-11,0.04,0.0,45000.0,0.0
4.E-03, 1.499033776E-10, 4.778648955E-05, 3.704666378E-16, 8.628966046E-11,0.08,0.0,45000.0,0.0
6.E-03, 7.666166163E-10, 1.946712381E-04, -3.499103092E-15, -2.173269295E-09,0.12,0.0,45000.0,0.0
8.E-03, 1.56128262E-09, -1.056816559E-04, -4.230737108E-14, -1.529586678E-08,0.16,0.0,45000.0,0.0
1.E-02, -4.517416435E-09, -3.330941413E-03, -1.711785307E-13, -2.973575528E-08,0.2,0.0,45000.0,0.0
1.2E-02, -4.132931232E-08, -1.203557966E-02, -2.794543682E-13, 4.00315048E-08,0.24,0.0,45000.0,0.0
1.4E-02, -1.12674104E-07, -5.231327943E-03, 1.323323904E-13, 2.199989392E-07,0.28,0.0,45000.0,0.0
1.6E-02, -1.165336606E-08, 9.141231961E-02, 1.195890533E-12, 1.058948691E-07,0.32,0.0,45000.0,0.0
1.8E-02, 8.186989618E-07, 0.273253105, 1.264174488E-12, -6.035251834E-07,0.36,0.0,45000.0,0.0
2.E-02, 2.510507433E-06, 0.157482697, -1.0947343E-12, -6.100952306E-07,0.4,0.0,45000.0,0.0
2.2E-02, 3.192493984E-06, -0.662383806, -1.916904826E-12, 1.378438544E-06,0.43999999999999995,0.0,45000.0,0.0
2.4E-02, -3.254550877E-07, -1.43759477, 4.863217019E-12, 2.422756318E-06,0.48,0.0,45000.0,0.0
2.6E-02, -8.260792575E-06, -0.771124579, 1.455073253E-11, -9.689973949E-07,0.52,0.0,45000.0,0.0
2.8E-02, -1.616437511E-05, 0.787004622, 1.390539752E-11, -4.19749277E-06,0.56,0.0,45000.0,0.0
3.E-02, -1.999517122E-05, 1.2494132, 3.830081641E-12, -5.176050432E-07,0.6,0.0,45000.0,0.0
3.2E-02, -2.018052845E-05, 0.573310304, 4.88463708E-12, 6.082573672E-06,0.64,0.0,45000.0,0.0
3.4E-02, -1.925701968E-05, -1.888336321E-02, 2.988081963E-11, 5.888375742E-06,0.68,0.0,45000.0,0.0
3.6E-02, -1.887951132E-05, -0.254119739, 6.129805565E-11, -2.677774946E-06,0.72,0.0,45000.0,0.0
3.8E-02, -1.884719064E-05, 8.151460275E-02, 6.877955693E-11, -9.290213377E-06,0.76,0.0,45000.0,0.0
4.E-02, -1.659695552E-05, 1.02743859, 5.257218247E-11, -2.554436341E-06,0.8,0.0,45000.0,0.0
4.2E-02, -7.821874995E-06, 2.2349816, 5.270667386E-11, 1.072541494E-05,0.8400000000000001,0.0,45000.0,0.0
4.4E-02, 1.169111337E-05, 3.13398243, 9.827749584E-11, 1.199300292E-05,0.8799999999999999,0.0,45000.0,0.0
4.6E-02, 4.114721619E-05, 1.83761923, 1.675035254E-10, -1.653143575E-07,0.9199999999999999,0.0,45000.0,0.0
4.8E-02, 7.228737419E-05, -0.995597153, 2.133419302E-10, -1.152860079E-05,0.96,0.0,45000.0,0.0
5.E-02, 9.891324741E-05, -1.26160337, 2.151192913E-10, -1.050212703E-05,1.0,0.0,45000.0,0.0
5.2E-02, 1.247367867E-04, 0.860434298, 2.054149696E-10, 4.761135112E-06,1.04,0.0,45000.0,0.0
5.4E-02, 1.562627731E-04, 1.99081586, 2.432812751E-10, 1.90243508E-05,1.08,0.0,45000.0,0.0
5.6E-02, 1.942675174E-04, 1.24858335, 3.503162518E-10, 1.55602547E-05,1.12,0.0,45000.0,0.0
5.8E-02, 2.329765763E-04, -0.89641115, 4.821571284E-10, -3.157191801E-06,1.1600000000000001,0.0,45000.0,0.0
6.E-02, 2.656340476E-04, -2.12941982, 5.61576881E-10, -2.305345175E-05,1.2,0.0,45000.0,0.0
6.2E-02, 2.916706224E-04, -1.18104601, 5.525497087E-10, -2.117046982E-05,1.24,0.0,45000.0,0.0
6.4E-02, 3.13874189E-04, -0.735428458, 5.27695387E-10, 1.325653961E-05,1.28,0.0,45000.0,0.0
6.6E-02, 3.328467099E-04, -0.880108793, 6.195068097E-10, 4.507674558E-05,1.32,0.0,45000.0,0.0
6.8E-02, 3.489928109E-04, -0.533099169, 8.608245721E-10, 2.967718827E-05,1.36,0.0,45000.0,0.0
7.E-02, 3.612058127E-04, -1.43342155, 1.106824851E-09, -2.7335649E-05,1.4000000000000001,0.0,45000.0,0.0
7.2E-02, 3.653840736E-04, -2.58397104, 1.167970248E-09, -6.509254402E-05,1.44,0.0,45000.0,0.0
7.4E-02, 3.596150768E-04, -2.38966937, 1.050897823E-09, -2.401758072E-05,1.48,0.0,45000.0,0.0
7.6E-02, 3.463034479E-04, -1.38165547, 1.013213579E-09, 6.371170599E-05,1.52,0.0,45000.0,0.0
7.8E-02, 3.306220209E-04, 0.196750914, 1.282414003E-09, 8.973212116E-05,1.56,0.0,45000.0,0.0
8.E-02, 3.150405899E-04, -0.146699935, 1.747545509E-09, 8.234617551E-06,1.6,0.0,45000.0,0.0
8.2E-02, 2.939059828E-04, -2.62988709, 2.030787244E-09, -9.918003558E-05,1.6400000000000001,0.0,45000.0,0.0
8.4E-02, 2.616273057E-04, -2.94220265, 1.909224442E-09, -1.032242691E-04,1.6800000000000002,0.0,45000.0,0.0
8.6E-02, 2.21588859E-04, -0.937685861, 1.629382276E-09, 2.408333128E-05,1.7199999999999998,0.0,45000.0,0.0
8.8E-02, 1.811704267E-04, 0.747704615, 1.690368022E-09, 1.463319805E-04,1.7599999999999998,0.0,45000.0,0.0
9.E-02, 1.440003627E-04, 0.876506714, 2.266584765E-09, 1.112860831E-04,1.7999999999999998,0.0,45000.0,0.0
9.2E-02, 1.065201442E-04, -1.03156019, 2.936194132E-09, -6.458879943E-05,1.8399999999999999,0.0,45000.0,0.0
9.4E-02, 6.288554427E-05, -2.04567592, 3.083559319E-09, -1.965353305E-04,1.88,0.0,45000.0,0.0
9.6E-02, 1.400194436E-05, -0.578841006, 2.609839232E-09, -1.140106159E-04,1.92,0.0,45000.0,0.0
9.8E-02, -3.496228469E-05, 0.538551691, 2.15581086E-09, 1.238558725E-04,1.96,0.0,45000.0,0.0
0.1, -8.10968584E-05, 0.876270529, 2.459471606E-09, 2.549919177E-04,2.0,0.0,45000.0,0.0
0.102, -1.238402556E-04, 0.819332829, 3.481703804E-09, 1.042976168E-04,2.04,0.0,45000.0,0.0
0.104, -1.649615942E-04, -8.299247601E-03, 4.299292506E-09, -2.066191322E-04,2.08,0.0,45000.0,0.0
0.106, -2.065827508E-04, -0.241628649, 4.028427018E-09, -3.376126442E-04,2.12,0.0,45000.0,0.0
0.108, -2.486487908E-04, 1.919320702E-02, 2.925161654E-09, -7.859235862E-05,2.16,0.0,45000.0,0.0
0.11, -2.895077656E-04, 0.58432575, 2.340275303E-09, 3.377829345E-04,2.2,0.0,45000.0,0.0
0.112, -3.253993397E-04, 1.89936939, 3.287340844E-09, 4.282000314E-04,2.24,0.0,45000.0,0.0
0.114, -3.541210198E-04, 1.68562054, 5.096689028E-09, 2.947173352E-06,2.2800000000000002,0.0,45000.0,0.0
0.116, -3.79943469E-04, -0.236004888, 5.785000136E-09, -5.634679839E-04,2.3200000000000003,0.0,45000.0,0.0
0.118, -4.081412021E-04, -0.951667109, 4.110256992E-09, -6.180695833E-04,2.36,0.0,45000.0,0.0
0.12, -4.380486759E-04, 9.678255284E-02, 1.433567665E-09, 1.170871779E-04,2.4,0.0,45000.0,0.0
0.122, -4.639836924E-04, 1.88944157, 1.215664789E-09, 1.11230874E-03,2.44,0.0,45000.0,0.0
0.124, -4.817680693E-04, 2.18591973, 5.762474392E-09, 1.27006559E-03,2.48,0.0,45000.0,0.0
0.126, -4.956797152E-04, -0.249527269, 1.229462356E-08, -2.773713328E-04,2.52,0.0,45000.0,0.0
0.128, -5.140039119E-04, -1.9567926, 1.235899311E-08, -2.956514453E-03,2.56,0.0,45000.0,0.0
0.13, -5.380279129E-04, -0.893134541, -1.306622594E-09, -3.908524867E-03,2.6,0.0,45000.0,0.0
0.132, -5.622359958E-04, 0.801102455, -2.227087193E-08, 2.591270968E-04,2.64,0.0,45000.0,0.0
0.134, -5.822654923E-04, 1.28821194, -2.574444889E-08, 8.486187959E-03,2.68,0.0,45000.0,0.0
0.136, -5.999079311E-04, -9.465759455E-02, 1.21142458E-08, 1.218008079E-02,2.72,0.0,45000.0,0.0
0.138, -6.213688305E-04, -1.81458935, 7.767978647E-08, 1.673563414E-03,2.7600000000000002,0.0,45000.0,0.0
0.14, -6.497632176E-04, -1.65218476, 1.06889459E-07, -1.985144156E-02,2.8000000000000003,0.0,45000.0,0.0
0.142, -6.830401432E-04, -0.789072231, 3.295177357E-08, -3.17225312E-02,2.84,0.0,45000.0,0.0
0.144, -7.186184349E-04, -0.361612008, -1.309871521E-07, -1.327855133E-02,2.88,0.0,45000.0,0.0
0.146, -7.550250085E-04, -5.25248268E-02, -2.60640937E-07, 3.042094983E-02,2.92,0.0,45000.0,0.0
0.148, -7.925420055E-04, -0.502672139, -2.005275527E-07, 6.44630423E-02,2.96,0.0,45000.0,0.0
0.15, -8.34027276E-04, -1.48146598, 9.006078915E-08, 5.077521847E-02,3.0,0.0,45000.0,0.0
0.152, -8.827162145E-04, -2.12037512, 4.492619404E-07, -1.646825466E-02,3.04,0.0,45000.0,0.0
0.154, -9.394676978E-04, -1.9109113, 5.846787029E-07, -9.542419784E-02,3.08,0.0,45000.0,0.0
0.156, -1.000737548E-03, -0.348291719, 2.94103837E-07, -0.117572769,3.12,0.0,45000.0,0.0
0.158, -1.061553245E-03, 0.575402876, -3.184047427E-07, -4.339534141E-02,3.16,0.0,45000.0,0.0
0.16, -1.123268809E-03, -1.02530776, -8.464710434E-07, 8.56163528E-02,3.2,0.0,45000.0,0.0
0.162, -1.192872012E-03, -2.91853223, -8.751182198E-07, 0.164094586,3.24,0.0,45000.0,0.0
0.164, -1.273500596E-03, -2.59419332, -3.388626773E-07, 0.118358499,3.2800000000000002,0.0,45000.0,0.0
0.166, -1.360205868E-03, -0.444161063, 4.029019562E-07, -1.56034611E-02,3.3200000000000003,0.0,45000.0,0.0
0.168, -1.44577774E-03, 1.0108882, 8.624336499E-07, -0.125514087,3.3600000000000003,0.0,45000.0,0.0
0.17, -1.530251698E-03, -0.461885483, 8.123329528E-07, -0.129303679,3.4000000000000004,0.0,45000.0,0.0
0.172, -1.621274067E-03, -2.81234302, 4.237358861E-07, -3.99452729E-02,3.4399999999999995,0.0,45000.0,0.0
0.174, -1.722977022E-03, -2.52799238, 6.90102844E-08, 5.688157205E-02,3.4799999999999995,0.0,45000.0,0.0
0.176, -1.830799786E-03, -0.531912791, -2.239864612E-08, 7.477816184E-02,3.5199999999999996,0.0,45000.0,0.0
0.178, -1.938590966E-03, 0.547727317, 3.48626991E-08, -4.420897137E-04,3.5599999999999996,0.0,45000.0,0.0
0.18, -2.044906884E-03, 0.189917496, -8.553370018E-08, -8.838738332E-02,3.5999999999999996,0.0,45000.0,0.0
0.182, -2.153001331E-03, -1.07917264, -5.512522893E-07, -8.427540136E-02,3.6399999999999997,0.0,45000.0,0.0
0.184, -2.266597221E-03, -1.67157485, -1.131784766E-06, 2.68674646E-02,3.6799999999999997,0.0,45000.0,0.0
0.186, -2.385992936E-03, -1.22833817, -1.374209772E-06, 0.14218714,3.7199999999999998,0.0,45000.0,0.0
0.188, -2.509232859E-03, -0.693767549, -1.034624635E-06, 0.148819769,3.76,0.0,45000.0,0.0
0.19, -2.632895724E-03, 0.482282638, -3.006631987E-07, 4.836922954E-02,3.8,0.0,45000.0,0.0
0.192, -2.752642273E-03, 1.47589331, 4.307843841E-07, -4.962704949E-02,3.84,0.0,45000.0,0.0
0.194, -2.86926766E-03, 8.472954304E-02, 9.541876052E-07, -5.439656331E-02,3.88,0.0,45000.0,0.0
0.196, -2.989011707E-03, -1.64409215, 1.389095154E-06, 1.014841513E-02,3.92,0.0,45000.0,0.0
0.198, -3.115079654E-03, -1.51787206, 1.926119473E-06, 4.091111205E-02,3.96,0.0,45000.0,0.0
0.2, -3.243807403E-03, 0.18794556, 2.481494624E-06, -3.173425624E-02,4.0,0.0,45000.0,0.0
0.202, -3.367466092E-03, 2.34659808, 2.627246215E-06, -0.173077234,4.04,0.0,45000.0,0.0
0.204, -3.482501651E-03, 1.9650167, 1.886188272E-06, -0.270328907,4.08,0.0,45000.0,0.0
0.206, -3.595003339E-03, -0.698073387, 1.567233284E-07, -0.223876803,4.12,0.0,45000.0,0.0
0.208, -3.711610584E-03, -1.35476253, -2.085637734E-06, -3.257267578E-02,4.16,0.0,45000.0,0.0
0.21, -3.830850937E-03, 3.821414065E-02, -4.011658694E-06, 0.190743326,4.2,0.0,45000.0,0.0
0.212, -3.946312907E-03, 1.85096152, -4.955986715E-06, 0.300105377,4.24,0.0,45000.0,0.0
0.214, -4.051865764E-03, 3.10362441, -4.809568988E-06, 0.245269372,4.28,0.0,45000.0,0.0
0.216, -4.14893074E-03, 1.14036693, -3.928256541E-06, 0.12217784,4.32,0.0,45000.0,0.0
0.218, -4.244691399E-03, -0.488266907, -2.668161649E-06, 6.721184115E-02,4.36,0.0,45000.0,0.0
0.22, -4.340513205E-03, 0.457687224, -1.064785216E-06, 0.104428158,4.4,0.0,45000.0,0.0
0.222, -4.43199609E-03, 1.71177197, 1.010381882E-06, 0.131468183,4.44,0.0,45000.0,0.0
0.224, -4.513945694E-03, 3.05486713, 3.456183566E-06, 5.385071273E-02,4.48,0.0,45000.0,0.0
0.226, -4.584213101E-03, 2.78627257, 5.794141625E-06, -0.107772017,4.5200000000000005,0.0,45000.0,0.0
0.228, -4.646424833E-03, 1.24155635, 7.407719356E-06, -0.254419016,4.5600000000000005,0.0,45000.0,0.0
0.23, -4.704392359E-03, 0.880525538, 7.882752653E-06, -0.314854483,4.6000000000000005,0.0,45000.0,0.0
0.232, -4.75778762E-03, 1.40560618, 7.149134619E-06, -0.28947205,4.640000000000001,0.0,45000.0,0.0
0.234, -4.803615387E-03, 2.37813066, 5.399740148E-06, -0.218416449,4.680000000000001,0.0,45000.0,0.0
0.236, -4.835901864E-03, 4.39249789, 2.926111752E-06, -0.143700329,4.72,0.0,45000.0,0.0
0.238, -4.852604186E-03, 3.39967011, -7.305068609E-09, -8.619363745E-02,4.76,0.0,45000.0,0.0
0.24, -4.859863289E-03, 1.32187787, -3.167237916E-06, -2.706465666E-02,4.8,0.0,45000.0,0.0
0.242, -4.862358179E-03, 1.06024404, -6.23507401E-06, 7.311229264E-02,4.84,0.0,45000.0,0.0
0.244, -4.860471695E-03, 1.13041944, -8.739359763E-06, 0.208662728,4.88,0.0,45000.0,0.0
0.246, -4.848563702E-03, 3.88029179, -1.022041468E-05, 0.30295386,4.92,0.0,45000.0,0.0
0.248, -4.820830806E-03, 4.03226669, -1.051659939E-05, 0.289482763,4.96,0.0,45000.0,0.0
0.25, -4.780871687E-03, 2.08079182, -9.817747143E-06, 0.208035904,5.0,0.0,45000.0,0.0
0.252, -4.734653912E-03, 1.04856522, -8.371598828E-06, 0.165610979,5.04,0.0,45000.0,0.0
0.254, -4.687311228E-03, -0.486126399, -6.205210877E-06, 0.194508202,5.08,0.0,45000.0,0.0
0.256, -4.641852759E-03, -0.456004302, -3.235004306E-06, 0.207402127,5.12,0.0,45000.0,0.0
0.258, -4.592116335E-03, 2.5949296, 3.862348142E-07, 0.118115677,5.16,0.0,45000.0,0.0
0.26, -4.53023603E-03, 3.47711523, 4.162246726E-06, -4.072905915E-02,5.2,0.0,45000.0,0.0
0.262, -4.45936931E-03, 1.01607279, 7.542402582E-06, -0.157200236,5.24,0.0,45000.0,0.0
0.264, -4.389196373E-03, -1.36294683, 1.026668768E-05, -0.17073645,5.28,0.0,45000.0,0.0
0.266, -4.327707463E-03, -2.97910253, 1.239543601E-05, -0.127032069,5.32,0.0,45000.0,0.0
0.268, -4.269453443E-03, 1.36154474, 1.403739662E-05, -0.116360838,5.36,0.0,45000.0,0.0
0.27, -4.199349915E-03, 4.56334807, 1.506646752E-05, -0.190082864,5.4,0.0,45000.0,0.0
0.272, -4.119267314E-03, 0.426234232, 1.507069174E-05, -0.322340159,5.44,0.0,45000.0,0.0
0.274, -4.042090193E-03, -1.87906449, 1.359257522E-05, -0.418831403,5.48,0.0,45000.0,0.0
0.276, -3.971409537E-03, -1.36914915, 1.05114682E-05, -0.382665958,5.5200000000000005,0.0,45000.0,0.0
0.278, -3.902034807E-03, 0.716128857, 6.233872393E-06, -0.215579606,5.5600000000000005,0.0,45000.0,0.0
0.28, -3.826665241E-03, 2.28135814, 1.433995012E-06, -4.55601081E-02,5.6000000000000005,0.0,45000.0,0.0
0.282, -3.746585033E-03, 7.398846859E-02, -3.466847164E-06, -4.920139055E-03,5.64,0.0,45000.0,0.0
0.284, -3.669775824E-03, -1.70952375, -8.515991956E-06, -6.923067866E-02,5.68,0.0,45000.0,0.0
0.286, -3.594856499E-03, 0.764511155, -1.383819903E-05, -6.730258194E-02,5.72,0.0,45000.0,0.0
0.288, -3.518790537E-03, -0.191037852, -1.90621446E-05, 0.11643091,5.76,0.0,45000.0,0.0
0.29, -3.44776836E-03, -2.330977, -2.326920016E-05, 0.392014199,5.8,0.0,45000.0,0.0
0.292, -3.380954335E-03, 0.226903927, -2.557037873E-05, 0.560926834,5.84,0.0,45000.0,0.0
0.294, -3.311510494E-03, 1.08804363, -2.567569347E-05, 0.537007368,5.88,0.0,45000.0,0.0
0.296, -3.236091504E-03, 1.89949349, -2.386408103E-05, 0.421456251,5.92,0.0,45000.0,0.0
0.298, -3.157551251E-03, -0.338750505, -2.048449612E-05, 0.362528549,5.96,0.0,45000.0,0.0
0.3, -3.08861581E-03, -4.46371778, -1.559814229E-05, 0.390855158,6.0,0.0,45000.0,0.0
0.302, -3.028636347E-03, -1.442216844E-02, -9.1074467E-06, 0.411316655,6.04,0.0,45000.0,0.0
0.304, -2.959599879E-03, 4.54306963, -1.156594847E-06, 0.318763359,6.08,0.0,45000.0,0.0
0.306, -2.87756198E-03, 1.95768099, 7.627276597E-06, 9.774777261E-02,6.12,0.0,45000.0,0.0
0.308, -2.793692007E-03, -1.04166835, 1.627464827E-05, -0.165997909,6.16,0.0,45000.0,0.0
0.31, -2.719074383E-03, -3.5844938, 2.388336333E-05, -0.353332043,6.2,0.0,45000.0,0.0
0.312, -2.653860515E-03, -1.11751995, 2.99590819E-05, -0.413167744,6.24,0.0,45000.0,0.0
