TIME,N1_UZ,N1_AZ,N2_UZ,N2_AZ,N3_UZ,N3_AZ,N4_UZ,N4_AZ,N5_UZ,N5_AZ,N6_UZ,N6_AZ,N7_UZ,N7_AZ,front_wheel_pos,rear_wheel_pos,front_axle_wt,rear_axle_wt
1.E-03,-6.639897031E-11,-1.327946536E-04,1.173459567E-12,2.346861044E-06,1.830335722E-13,3.660580835E-07,2.763502347E-14,5.526867891E-08,2.361868999E-15,4.723621077E-09,3.414301561E-16,6.828434102E-10,2.951493117E-17,5.902840125E-11,0.04,0.0,50000.0,0.0
2.E-03,-3.436847455E-10,-2.88981599E-04,1.237522657E-11,1.770948859E-05,2.252569525E-12,3.406889352E-06,4.352628897E-13,7.047036404E-07,4.358884572E-14,7.300513576E-08,7.501556922E-15,1.295427953E-08,7.312517668E-16,1.285387945E-09,0.08,0.0,50000.0,0.0
3.E-03,-1.724769224E-10,1.185931012E-03,5.910307087E-11,5.334242425E-05,1.251780994E-11,1.298441397E-05,3.07771246E-12,3.764893198E-06,3.677282579E-13,4.928124638E-07,7.560943447E-14,1.089394148E-07,8.418150346E-15,1.268471065E-08,0.12,0.0,50000.0,0.0
4.E-03,4.069188534E-09,6.954915E-03,1.783498531E-10,9.169562126E-05,4.225164774E-11,2.595280038E-05,1.287192915E-11,1.053859477E-05,1.876493735E-12,1.876422937E-06,4.609792578E-13,5.255783113E-07,5.960260514E-14,7.430937902E-08,0.16,0.0,50000.0,0.0
5.E-03,2.419612841E-08,2.481540244E-02,4.280415639E-10,1.691931006E-04,1.00204455E-10,3.048532815E-05,3.550070553E-11,1.513062395E-05,6.4744424E-12,4.301934046E-06,1.886244981E-12,1.554204383E-06,2.89492979E-13,2.830998189E-07,0.2,0.0,50000.0,0.0
6.E-03,9.714641182E-08,8.083056702E-02,9.946272028E-10,4.64590475E-04,1.876092393E-10,2.841860343E-05,6.927427292E-11,7.159171665E-06,1.608653988E-11,5.726397573E-06,5.432960749E-12,2.688702012E-06,1.018714299E-12,7.155591245E-07,0.24,0.0,50000.0,0.0
7.E-03,2.971959174E-07,0.173367677,2.336477189E-09,1.085934348E-03,3.064352271E-10,3.442362581E-05,1.048087607E-10,-3.637470365E-06,3.034280569E-11,3.561994608E-06,1.127039918E-11,1.892784918E-06,2.676511353E-12,1.141595393E-06,0.28,0.0,50000.0,0.0
8.E-03,6.558170202E-07,0.143778737,5.107599389E-09,1.772612255E-03,4.636595494E-10,4.237316929E-05,1.432881861E-10,9.526889317E-06,4.653949257E-11,3.188197962E-07,1.719476317E-11,-1.718904879E-06,5.351523163E-12,8.928478324E-07,0.32,0.0,50000.0,0.0
9.E-03,9.906108311E-07,-0.191428912,9.478736549E-09,1.427441073E-03,6.619702964E-10,3.979981696E-05,2.012689762E-10,2.947611934E-05,6.39893575E-11,2.187436971E-06,2.072609441E-11,-3.067244996E-06,8.32224215E-12,-3.014235156E-07,0.36,0.0,50000.0,0.0
1.E-02,9.796537084E-07,-0.500077934,1.308956323E-08,-2.947985206E-03,8.822362896E-10,4.111361071E-06,2.794482379E-10,1.092150318E-05,8.61027291E-11,7.139597421E-06,2.454052472E-11,3.633326597E-06,1.059512423E-11,-1.094270009E-06,0.4,0.0,50000.0,0.0
1.1E-02,6.408745332E-07,-0.155577458,7.838499681E-09,-1.477568611E-02,1.043013809E-09,-1.230867149E-04,3.585295908E-10,-9.117949797E-06,1.146307155E-10,5.68977009E-06,3.501766076E-11,9.692214982E-06,1.244928966E-11,2.568029637E-07,0.43999999999999995,0.0,50000.0,0.0
1.2E-02,4.225008303E-07,0.39639433,-2.068674208E-08,-3.177264937E-02,9.715538354E-10,-3.413875792E-04,4.403940675E-10,1.468372873E-05,1.451479161E-10,-1.711329698E-06,5.053109207E-11,3.806284888E-07,1.560693109E-11,2.350163762E-06,0.48,0.0,50000.0,0.0
1.3E-02,3.90572989E-07,-2.348436154E-02,-8.729806959E-08,-4.439965082E-02,3.991501347E-10,-6.604980587E-04,5.332224246E-10,7.245264727E-06,1.727565763E-10,-4.105886883E-06,6.052810932E-11,-1.141364308E-05,2.063339602E-11,1.387544442E-06,0.52,0.0,50000.0,0.0
1.4E-02,-1.390099459E-07,-0.971830629,-1.995908606E-07,-4.696339922E-02,-1.059436428E-09,-1.11186617E-03,6.165733867E-10,-2.62006192E-05,2.006368963E-10,4.649063774E-06,6.446197926E-11,-7.130255634E-07,2.527776057E-11,-2.151741429E-06,0.56,0.0,50000.0,0.0
1.5E-02,-1.631881177E-06,-0.954765152,-3.582269872E-07,-4.572324536E-02,-3.652556656E-09,-1.157212676E-03,6.986700621E-10,2.369053618E-05,2.38529637E-10,1.537586878E-05,7.429479766E-11,1.251122662E-05,2.76198007E-11,-2.452991252E-06,0.6,0.0,50000.0,0.0
1.6E-02,-3.698181456E-06,-0.19209259,-5.594538209E-07,-3.945831936E-02,-6.750169227E-09,1.482058414E-04,8.172463505E-10,4.927077131E-05,2.861095945E-10,3.999022467E-06,9.019401698E-11,-3.780765306E-07,2.992107642E-11,2.371417728E-06,0.64,0.0,50000.0,0.0
1.7E-02,-5.793699239E-06,0.13366805,-7.789709477E-07,2.876987833E-03,-8.224156569E-09,3.099025597E-03,9.604949376E-10,7.363691813E-08,3.269051711E-10,-1.756798058E-05,1.033613907E-10,-5.086158459E-06,3.613772125E-11,5.459407306E-06,0.68,0.0,50000.0,0.0
1.8E-02,-7.884959479E-06,-0.125148754,-9.475258223E-07,9.904691481E-02,-4.341082377E-09,7.615077371E-03,1.164188214E-09,1.20811721E-04,3.634147127E-10,8.994911655E-06,1.20869481E-10,1.376754131E-05,4.517644662E-11,1.848756813E-07,0.72,0.0,50000.0,0.0
1.9E-02,-1.026110583E-05,-0.4446261,-9.716116426E-07,0.189891915,1.018574926E-08,1.367241908E-02,1.594112379E-09,3.31651767E-04,4.277922708E-10,4.674182354E-05,1.465476542E-10,2.573417656E-06,5.080147478E-11,-7.012342022E-06,0.76,0.0,50000.0,0.0
2.E-02,-1.30557584E-05,-0.392392949,-7.959959305E-07,0.209512206,4.178101765E-08,2.046445433E-02,2.396611214E-09,4.13499088E-04,5.176530881E-10,4.225993528E-06,1.650641192E-10,-1.689740669E-05,5.267593496E-11,-4.890630471E-07,0.8,0.0,50000.0,0.0
2.1E-02,-1.617369305E-05,-0.254166855,-4.126722829E-07,0.205903206,9.630636521E-08,2.539575017E-02,3.695727571E-09,5.797323823E-04,6.013000946E-10,-1.665542367E-05,1.828026436E-10,1.534080686E-05,6.140823959E-11,1.420481348E-05,0.8400000000000001,0.0,50000.0,0.0
2.2E-02,-1.961445447E-05,-0.391484143,1.94529813E-07,0.241853162,1.749818631E-07,2.290468894E-02,5.619165583E-09,6.689163383E-04,7.066632849E-10,6.008714749E-05,2.201187138E-10,2.381557746E-05,8.066497612E-11,6.844535913E-06,0.8799999999999999,0.0,50000.0,0.0
2.3E-02,-2.331895938E-05,-0.136015045,1.033365206E-06,0.221415345,2.68920357E-07,7.621483982E-03,7.94097695E-09,1.278406702E-04,8.614673396E-10,3.879763893E-05,2.607522048E-10,-1.718077849E-05,9.614445177E-11,-1.439918999E-05,0.9199999999999999,0.0,50000.0,0.0
